"Bancos","Caja y Bancos en ME / Obligaciones a la Vista ME ( N° de veces)","Caja y Bancos MN / Obligaciones a la Vista MN ( N° de veces )","Creditos Atrasados (criterio SBS)* / Creditos Directos","Creditos Atrasados con mas de 90 dias de atraso / Creditos Directos","Creditos Atrasados ME (criterio SBS)* / Creditos Directos ME","Creditos Atrasados MN (criterio SBS)* / Creditos Directos MN","Creditos Directos / Personal ( S/ Miles )","Creditos Refinanciados y Reestructurados / Creditos Directos","Depositos / Numero de Oficinas ( S/ Miles )","Gastos de Administracion Anualizados / Activo Productivo Promedio","Gastos de Operacion / Margen Financiero Total","Ingresos Financieros / Ingresos Totales","Ingresos Financieros Anualizados / Activo Productivo Promedio","Pasivo Total / Capital Social y Reservas ( N° de veces )","Periodo","Provisiones / Creditos Atrasados","Ratio de Capital Global (al mes anterior)","Ratio de Liquidez ME (Promedio de saldos del mes)","Ratio de Liquidez MN (Promedio de saldos del mes)","Utilidad Neta Anualizada / Activo Promedio","Utilidad Neta Anualizada / Patrimonio Promedio"
"BBVA",1.28,0.26,2.49,2.24,3.32,2.08,8923,1.78,142151.39,2.19,41.57,82.73,7.17,12.5,2016-06-30,187.19,13.73,42.18,25.01,1.71,22.19
"BCP",1.09,0.23,2.74,2.1,1.94,3.18,3717,0.84,156687.97,2.83,38.09,80.27,8.23,10.16,2016-06-30,145.53,15.73,40.54,28.19,2.28,23.52
"BIF",2.06,0.42,2.32,2,4.04,1.51,6139,1.81,87325.2,2.34,44.2,86.63,8.26,15.32,2016-06-30,163.92,12.59,49.02,12.48,0.95,13.25
"Cencosud",0,0,5.3,4.27,0,5.3,618,1.18,7787.86,29.54,73.15,85.35,46.05,2.87,2016-06-30,146.72,20.66,233.47,76.15,1.29,5.06
"Citibank",0.8,0.17,0,0,0,0,6007,0,4843057.73,3.13,56.7,85.08,6.86,7.79,2016-06-30,0,17.56,89.22,48.77,2.14,14.07
"Deutsche",0,0,0,NA,0,0,0,0,0,13.33,238.91,31.23,23.93,0.14,2016-06-30,0,314.94,0,29349.37,5.52,11.13
"Falabella",0,0,5.18,4.83,13.46,5.04,1553,1.87,32542.61,10.93,53.21,87.35,24.92,7.01,2016-06-30,163.02,14.68,107.42,34.6,2.38,17.23
"GNB",1.96,0.58,2.03,1.79,3.51,1.47,6570,0.75,260269.41,2.9,53.63,89.76,8.29,7.03,2016-06-30,171.62,13.7,48.72,18.78,1,8.68
"ICBC",1.65,5.37,3.06,3.06,0,10.05,3214,0,162105.23,4.15,312.6,87.87,3.4,2.2,2016-06-30,122.2,42.41,71.24,293.12,-3.07,-12.81
"Interbank",1.08,0.27,2.67,2.39,2.71,2.66,3631,1.13,78993,3.46,41.83,86.48,10.86,10.86,2016-06-30,175.37,16.5,53.05,23.69,2.13,24.4
"Mibanco",62.33,18.08,4.74,2.97,16.34,4.43,774,1.09,18565.45,8.56,59.17,98.01,19.75,8.59,2016-06-30,154.03,16.68,33.73,36.8,2.14,17.77
